id,x,y,z,yaw,speed
0,12.192,0.0,1.5,,1
1,12.192,4.812631578947368,1.5,,1
2,12.192,9.625263157894736,1.5,,1
3,12.192,14.437894736842104,1.5,,1
4,12.192,19.25052631578947,1.5,,1
5,12.192,24.06315789473684,1.5,,1
6,12.192,28.875789473684208,1.5,,1
7,12.192,33.688421052631575,1.5,,1
8,12.192,38.50105263157894,1.5,,1
9,12.192,43.31368421052631,1.5,,1
10,12.192,48.12631578947368,1.5,,1
11,12.192,52.938947368421054,1.5,,1
12,12.192,57.751578947368415,1.5,,1
13,12.192,62.56421052631579,1.5,,1
14,12.192,67.37684210526315,1.5,,1
15,12.192,72.18947368421053,1.5,,1
16,12.192,77.00210526315789,1.5,,1
17,12.192,81.81473684210526,1.5,,1
18,12.192,86.62736842105262,1.5,,1
19,12.192,91.44,1.5,,1
20,14.224,91.44,1.5,,1
21,14.224,86.62736842105264,1.5,,1
22,14.224,81.81473684210526,1.5,,1
23,14.224,77.00210526315789,1.5,,1
24,14.224,72.18947368421053,1.5,,1
25,14.224,67.37684210526317,1.5,,1
26,14.224,62.56421052631579,1.5,,1
27,14.224,57.75157894736842,1.5,,1
28,14.224,52.938947368421054,1.5,,1
29,14.224,48.126315789473686,1.5,,1
30,14.224,43.31368421052632,1.5,,1
31,14.224,38.50105263157894,1.5,,1
32,14.224,33.68842105263158,1.5,,1
33,14.224,28.875789473684208,1.5,,1
34,14.224,24.063157894736847,1.5,,1
35,14.224,19.25052631578947,1.5,,1
36,14.224,14.43789473684211,1.5,,1
37,14.224,9.625263157894736,1.5,,1
38,14.224,4.812631578947375,1.5,,1
39,14.224,0.0,1.5,,1
40,16.256,0.0,1.5,,1
41,16.256,4.812631578947368,1.5,,1
42,16.256,9.625263157894736,1.5,,1
43,16.256,14.437894736842104,1.5,,1
44,16.256,19.25052631578947,1.5,,1
45,16.256,24.06315789473684,1.5,,1
46,16.256,28.875789473684208,1.5,,1
47,16.256,33.688421052631575,1.5,,1
48,16.256,38.50105263157894,1.5,,1
49,16.256,43.31368421052631,1.5,,1
50,16.256,48.12631578947368,1.5,,1
51,16.256,52.938947368421054,1.5,,1
52,16.256,57.751578947368415,1.5,,1
53,16.256,62.56421052631579,1.5,,1
54,16.256,67.37684210526315,1.5,,1
55,16.256,72.18947368421053,1.5,,1
56,16.256,77.00210526315789,1.5,,1
57,16.256,81.81473684210526,1.5,,1
58,16.256,86.62736842105262,1.5,,1
59,16.256,91.44,1.5,,1
60,18.288,91.44,1.5,,1
61,18.288,86.62736842105264,1.5,,1
62,18.288,81.81473684210526,1.5,,1
63,18.288,77.00210526315789,1.5,,1
64,18.288,72.18947368421053,1.5,,1
65,18.288,67.37684210526317,1.5,,1
66,18.288,62.56421052631579,1.5,,1
67,18.288,57.75157894736842,1.5,,1
68,18.288,52.938947368421054,1.5,,1
69,18.288,48.126315789473686,1.5,,1
70,18.288,43.31368421052632,1.5,,1
71,18.288,38.50105263157894,1.5,,1
72,18.288,33.68842105263158,1.5,,1
73,18.288,28.875789473684208,1.5,,1
74,18.288,24.063157894736847,1.5,,1
75,18.288,19.25052631578947,1.5,,1
76,18.288,14.43789473684211,1.5,,1
77,18.288,9.625263157894736,1.5,,1
78,18.288,4.812631578947375,1.5,,1
79,18.288,0.0,1.5,,1
80,12.192,0.0,1.5,,1
