id,x,y,z,yaw,speed
0,0.0,0.0,1.5,,1
1,0.0,4.812631578947368,1.5,,1
2,0.0,9.625263157894736,1.5,,1
3,0.0,14.437894736842104,1.5,,1
4,0.0,19.25052631578947,1.5,,1
5,0.0,24.06315789473684,1.5,,1
6,0.0,28.875789473684208,1.5,,1
7,0.0,33.688421052631575,1.5,,1
8,0.0,38.50105263157894,1.5,,1
9,0.0,43.31368421052631,1.5,,1
10,0.0,48.12631578947368,1.5,,1
11,0.0,52.938947368421054,1.5,,1
12,0.0,57.751578947368415,1.5,,1
13,0.0,62.56421052631579,1.5,,1
14,0.0,67.37684210526315,1.5,,1
15,0.0,72.18947368421053,1.5,,1
16,0.0,77.00210526315789,1.5,,1
17,0.0,81.81473684210526,1.5,,1
18,0.0,86.62736842105262,1.5,,1
19,0.0,91.44,1.5,,1
20,2.032,91.44,1.5,,1
21,2.032,86.62736842105264,1.5,,1
22,2.032,81.81473684210526,1.5,,1
23,2.032,77.00210526315789,1.5,,1
24,2.032,72.18947368421053,1.5,,1
25,2.032,67.37684210526317,1.5,,1
26,2.032,62.56421052631579,1.5,,1
27,2.032,57.75157894736842,1.5,,1
28,2.032,52.938947368421054,1.5,,1
29,2.032,48.126315789473686,1.5,,1
30,2.032,43.31368421052632,1.5,,1
31,2.032,38.50105263157894,1.5,,1
32,2.032,33.68842105263158,1.5,,1
33,2.032,28.875789473684208,1.5,,1
34,2.032,24.063157894736847,1.5,,1
35,2.032,19.25052631578947,1.5,,1
36,2.032,14.43789473684211,1.5,,1
37,2.032,9.625263157894736,1.5,,1
38,2.032,4.812631578947375,1.5,,1
39,2.032,0.0,1.5,,1
40,4.064,0.0,1.5,,1
41,4.064,4.812631578947368,1.5,,1
42,4.064,9.625263157894736,1.5,,1
43,4.064,14.437894736842104,1.5,,1
44,4.064,19.25052631578947,1.5,,1
45,4.064,24.06315789473684,1.5,,1
46,4.064,28.875789473684208,1.5,,1
47,4.064,33.688421052631575,1.5,,1
48,4.064,38.50105263157894,1.5,,1
49,4.064,43.31368421052631,1.5,,1
50,4.064,48.12631578947368,1.5,,1
51,4.064,52.938947368421054,1.5,,1
52,4.064,57.751578947368415,1.5,,1
53,4.064,62.56421052631579,1.5,,1
54,4.064,67.37684210526315,1.5,,1
55,4.064,72.18947368421053,1.5,,1
56,4.064,77.00210526315789,1.5,,1
57,4.064,81.81473684210526,1.5,,1
58,4.064,86.62736842105262,1.5,,1
59,4.064,91.44,1.5,,1
60,6.096,91.44,1.5,,1
61,6.096,86.62736842105264,1.5,,1
62,6.096,81.81473684210526,1.5,,1
63,6.096,77.00210526315789,1.5,,1
64,6.096,72.18947368421053,1.5,,1
65,6.096,67.37684210526317,1.5,,1
66,6.096,62.56421052631579,1.5,,1
67,6.096,57.75157894736842,1.5,,1
68,6.096,52.938947368421054,1.5,,1
69,6.096,48.126315789473686,1.5,,1
70,6.096,43.31368421052632,1.5,,1
71,6.096,38.50105263157894,1.5,,1
72,6.096,33.68842105263158,1.5,,1
73,6.096,28.875789473684208,1.5,,1
74,6.096,24.063157894736847,1.5,,1
75,6.096,19.25052631578947,1.5,,1
76,6.096,14.43789473684211,1.5,,1
77,6.096,9.625263157894736,1.5,,1
78,6.096,4.812631578947375,1.5,,1
79,6.096,0.0,1.5,,1
80,0.0,0.0,1.5,,1
